Speaker,Modern Thai,Thai Boran
B,"ด้วยความยินดีครับ ขอให้ท่านพักผ่อนให้เต็มที่","ด้วยความยินดีครับ ขอให้ท่านพักผ่อนให้เต็มที่"
A,"เรียนท่าน ดิฉันใคร่ขอทราบถึงนโยบายในการดูแลสุขภาพของพนักงาน","เรียนท่าน ดิฉันใคร่ขอทราบถึงนโยบายในการดูแลสุขภาพของพนักงาน"
B,"กระผมขอเรียนว่าทางองค์กรมีนโยบายส่งเสริมให้พนักงานดูแลสุขภาพอย่างสม่ำเสมอ","กระผมขอเรียนว่าทางองค์การมีนโยบายส่งเสริมให้พนักงานดูแลสุขภาพอย่างสม่ำเสมอ"
A,"ขอบพระคุณท่านมากสำหรับข้อมูล","ขอบพระคุณท่านมากสำหรับข้อมูล"
B,"ด้วยความยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ด้วยความยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"ท่านครับ ผมใคร่ขอความอนุเคราะห์ในการประเมินผลการปฏิบัติงานของผม","ท่านครับ ผมใคร่ขอความอนุเคราะห์ในการประเมินผลการปฏิบัติงานของผม"
B,"กระผมจะทำการประเมินผลการปฏิบัติงานของท่าน และจะแจ้งผลให้ท่านทราบต่อไป","กระผมจักทำการประเมินผลการปฏิบัติงานของท่าน และจักแจ้งผลให้ท่านทราบต่อไป"
A,"ขอบพระคุณท่านสำหรับความเอาใจใส่","ขอบพระคุณท่านสำหรับความเอาใจใส่"
B,"ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"เรียนท่าน ดิฉันมีความประสงค์จะขอความช่วยเหลือในการแก้ไขปัญหาเรื่องนี้","เรียนท่าน ดิฉันมีความประสงค์จักขอความช่วยเหลือในการแก้ไขปัญหาเรื่องนี้"
B,"กระผมยินดีที่จะช่วยเหลือ หากมีข้อมูลเพิ่มเติมโปรดแจ้งให้ทราบด้วยครับ","กระผมยินดีที่จะช่วยเหลือ หากมีข้อมูลเพิ่มเติมโปรดแจ้งให้ทราบด้วยครับ"
A,"ขอบพระคุณท่านมากสำหรับความอนุเคราะห์","ขอบพระคุณท่านมากสำหรับความอนุเคราะห์"
B,"ด้วยความยินดีครับ กระผมจะพยายามอย่างเต็มที่","ด้วยความยินดีครับ กระผมจักพยายามอย่างเต็มที่"
A,"ท่านครับ ผมใคร่ขอทราบถึงขั้นตอนการสมัครเข้ารับตำแหน่งนี้","ท่านครับ ผมใคร่ขอทราบถึงขั้นตอนการสมัครเข้ารับตำแหน่งนี้"
B,"กระผมขอเรียนว่า ท่านสามารถดูรายละเอียดและขั้นตอนการสมัครได้จากเว็บไซต์ของบริษัท","กระผมขอเรียนว่า ท่านสามารถดูรายละเอียดและขั้นตอนการสมัครได้จากเว็บไซต์ของบริษัท"
A,"ขอบพระคุณท่านมากสำหรับข้อมูลครับ","ขอบพระคุณท่านมากสำหรับข้อมูลครับ"
B,"ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"เรียนท่าน ดิฉันใคร่ขอเรียนเชิญท่านเป็นประธานในการประชุมครั้งนี้","เรียนท่าน ดิฉันใคร่ขอเรียนเชิญท่านเป็นประธานในการประชุมครั้งนี้"
B,"กระผมมีความยินดีที่จะรับเป็นประธานในการประชุมครั้งนี้ ขอบคุณครับ","กระผมมีความยินดีที่จะรับเป็นประธานในการประชุมครั้งนี้ ขอบคุณครับ"
A,"ขอบพระคุณท่านมากสำหรับความกรุณา","ขอบพระคุณท่านมากสำหรับความกรุณา"
B,"ด้วยความยินดีครับ แล้วพบกันในวันประชุมนะครับ","ด้วยความยินดีครับ แล้วพบกันในวันประชุมนะครับ"
A,"ท่านครับ ผมมีความประสงค์จะขอคำปรึกษาในเรื่องนี้จากท่าน","ท่านครับ ผมมีความประสงค์จักขอคำปรึกษาในเรื่องนี้จากท่าน"
B,"กระผมยินดีที่จะให้คำปรึกษา หากมีรายละเอียดโปรดแจ้งให้ทราบด้วยครับ","กระผมยินดีที่จะให้คำปรึกษา หากมีรายละเอียดโปรดแจ้งให้ทราบด้วยครับ"
A,"ขอบพระคุณท่านมากสำหรับความเอื้อเฟื้อ","ขอบพระคุณท่านมากสำหรับความเอื้อเฟื้อ"
B,"ด้วยความยินดีครับ กระผมจะพยายามให้คำแนะนำที่ดีที่สุด","ด้วยความยินดีครับ กระผมจักพยายามให้คำแนะนำที่ดีที่สุด"
A,"เรียนท่าน ดิฉันมีความประสงค์จะขอความอนุเคราะห์ในการเข้าร่วมอบรม","เรียนท่าน ดิฉันมีความประสงค์จักขอความอนุเคราะห์ในการเข้าร่วมอบรม"
B,"กระผมจะพิจารณาคำขอของท่าน และจะแจ้งผลให้ทราบโดยเร็ว","กระผมจักพิจารณาคำขอของท่าน และจักแจ้งผลให้ทราบโดยเร็ว"
A,"ขอบพระคุณท่านมากสำหรับความเมตตา","ขอบพระคุณท่านมากสำหรับความเมตตา"
B,"ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ","ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ"
A,"ท่านครับ ผมใคร่ขอทราบถึงแนวทางในการแก้ไขปัญหาดังกล่าว","ท่านครับ ผมใคร่ขอทราบถึงแนวทางในการแก้ไขปัญหาดังกล่าว"
B,"กระผมขอเรียนว่ากำลังอยู่ในระหว่างการพิจารณาแนวทางแก้ไข และจะแจ้งให้ทราบเมื่อมีความคืบหน้า","กระผมขอเรียนว่ากำลังอยู่ในระหว่างการพิจารณาแนวทางแก้ไข และจักแจ้งให้ทราบเมื่อมีความคืบหน้า"
A,"ขอบพระคุณท่านสำหรับข้อมูลครับ","ขอบพระคุณท่านสำหรับข้อมูลครับ"
B,"ยินดีครับ หากมีข้อสงสัย สามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัย สามารถสอบถามได้เสมอ"
A,"เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการเข้าร่วมโครงการนี้","เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการเข้าร่วมโครงการนี้"
B,"กระผมจะนำเรื่องนี้เข้าสู่การพิจารณา และจะแจ้งผลให้ทราบโดยเร็ว","กระผมจักนำเรื่องนี้เข้าสู่การพิจารณา และจักแจ้งผลให้ทราบโดยเร็ว"
A,"ขอบพระคุณท่านมากสำหรับความกรุณา","ขอบพระคุณท่านมากสำหรับความกรุณา"
B,"ด้วยความยินดี หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ด้วยความยินดี หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"ท่านครับ ผมใคร่ขอทราบถึงรายละเอียดของข้อตกลงดังกล่าว","ท่านครับ ผมใคร่ขอทราบถึงรายละเอียดของข้อตกลงดังกล่าว"
B,"กระผมขอเรียนว่าท่านสามารถดูรายละเอียดของข้อตกลงได้จากเอกสารที่แนบมา","กระผมขอเรียนว่าท่านสามารถดูรายละเอียดของข้อตกลงได้จากเอกสารที่แนบมา"
A,"ขอบพระคุณท่านมากสำหรับข้อมูลครับ","ขอบพระคุณท่านมากสำหรับข้อมูลครับ"
B,"ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"เรียนท่าน ดิฉันมีความประสงค์จะขอความช่วยเหลือในการติดต่อประสานงาน","เรียนท่าน ดิฉันมีความประสงค์จักขอความช่วยเหลือในการติดต่อประสานงาน"
B,"กระผมยินดีที่จะช่วยเหลือ หากมีข้อมูลเพิ่มเติมโปรดแจ้งให้ทราบด้วยครับ","กระผมยินดีที่จะช่วยเหลือ หากมีข้อมูลเพิ่มเติมโปรดแจ้งให้ทราบด้วยครับ"
A,"ขอบพระคุณท่านมากสำหรับความอนุเคราะห์","ขอบพระคุณท่านมากสำหรับความอนุเคราะห์"
B,"ด้วยความยินดีครับ กระผมจะพยายามอย่างเต็มที่","ด้วยความยินดีครับ กระผมจักพยายามอย่างเต็มที่"
A,"ท่านครับ ผมใคร่ขอทราบถึงนโยบายในการส่งเสริมความก้าวหน้าของพนักงาน","ท่านครับ ผมใคร่ขอทราบถึงนโยบายในการส่งเสริมความก้าวหน้าของพนักงาน"
B,"กระผมขอเรียนว่าทางองค์กรมีนโยบายในการสนับสนุนและส่งเสริมความก้าวหน้าของพนักงานอย่างเต็มที่","กระผมขอเรียนว่าทางองค์การมีนโยบายในการสนับสนุนและส่งเสริมความก้าวหน้าของพนักงานอย่างเต็มที่"
A,"ขอบพระคุณท่านมากสำหรับข้อมูลครับ","ขอบพระคุณท่านมากสำหรับข้อมูลครับ"
B,"ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอเอกสารรับรอง","เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอเอกสารรับรอง"
B,"กระผมจะดำเนินการออกเอกสารรับรองให้ท่าน และจะแจ้งให้ทราบเมื่อแล้วเสร็จ","กระผมจักดำเนินการออกเอกสารรับรองให้ท่าน และจักแจ้งให้ทราบเมื่อแล้วเสร็จ"
A,"ขอบพระคุณท่านมากสำหรับความเมตตา","ขอบพระคุณท่านมากสำหรับความเมตตา"
B,"ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ","ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ"
A,"ท่านครับ ผมมีความประสงค์จะขอความช่วยเหลือในการจัดเตรียมสถานที่สำหรับการประชุม","ท่านครับ ผมมีความประสงค์จักขอความช่วยเหลือในการจัดเตรียมสถานที่สำหรับการประชุม"
B,"กระผมจะทำการจัดเตรียมสถานที่สำหรับการประชุม และจะแจ้งให้ทราบเมื่อเรียบร้อย","กระผมจักทำการจัดเตรียมสถานที่สำหรับการประชุม และจักแจ้งให้ทราบเมื่อเรียบร้อย"
A,"ขอบพระคุณท่านมากสำหรับความเอาใจใส่","ขอบพระคุณท่านมากสำหรับความเอาใจใส่"
B,"ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"เรียนท่าน ดิฉันใคร่ขอทราบถึงเกณฑ์ในการพิจารณาผลงาน","เรียนท่าน ดิฉันใคร่ขอทราบถึงเกณฑ์ในการพิจารณาผลงาน"
B,"กระผมขอเรียนว่า ท่านสามารถดูรายละเอียดของเกณฑ์การพิจารณาผลงานได้จากเอกสารที่แนบมา","กระผมขอเรียนว่า ท่านสามารถดูรายละเอียดของเกณฑ์การพิจารณาผลงานได้จากเอกสารที่แนบมา"
A,"ขอบพระคุณท่านมากสำหรับข้อมูล","ขอบพระคุณท่านมากสำหรับข้อมูล"
B,"ด้วยความยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ด้วยความยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"ท่านครับ ผมมีความประสงค์จะขอความอนุเคราะห์ในการขอคำแนะนำจากผู้เชี่ยวชาญ","ท่านครับ ผมมีความประสงค์จักขอความอนุเคราะห์ในการขอคำแนะนำจากผู้เชี่ยวชาญ"
B,"กระผมจะดำเนินการติดต่อผู้เชี่ยวชาญให้ท่าน และจะแจ้งให้ทราบเมื่อได้รับการติดต่อกลับ","กระผมจักดำเนินการติดต่อผู้เชี่ยวชาญให้ท่าน และจักแจ้งให้ทราบเมื่อได้รับการติดต่อกลับ"
A,"ขอบพระคุณท่านมากสำหรับความกรุณา","ขอบพระคุณท่านมากสำหรับความกรุณา"
B,"ด้วยความยินดี หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ","ด้วยความยินดี หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ"
A,"เรียนท่าน ดิฉันมีความประสงค์จะขอความอนุเคราะห์ในการขอข้อมูลสถิติ","เรียนท่าน ดิฉันมีความประสงค์จักขอความอนุเคราะห์ในการขอข้อมูลสถิติ"
B,"กระผมจะดำเนินการรวบรวมข้อมูลสถิติให้ท่าน และจะแจ้งให้ทราบเมื่อเรียบร้อย","กระผมจักดำเนินการรวบรวมข้อมูลสถิติให้ท่าน และจักแจ้งให้ทราบเมื่อเรียบร้อย"
A,"ขอบพระคุณท่านมากสำหรับความเมตตา","ขอบพระคุณท่านมากสำหรับความเมตตา"
B,"ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ","ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ"
A,"ท่านครับ ผมใคร่ขอทราบถึงแผนการดำเนินงานในอนาคต","ท่านครับ ผมใคร่ขอทราบถึงแผนการดำเนินงานในอนาคต"
B,"กระผมขอเรียนว่าทางองค์กรกำลังอยู่ในขั้นตอนการวางแผน และจะแจ้งให้ทราบเมื่อมีความคืบหน้า","กระผมขอเรียนว่าทางองค์การกำลังอยู่ในขั้นตอนการวางแผน และจักแจ้งให้ทราบเมื่อมีความคืบหน้า"
A,"ขอบพระคุณท่านมากสำหรับข้อมูลครับ","ขอบพระคุณท่านมากสำหรับข้อมูลครับ"
B,"ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอใช้ห้องประชุม","เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอใช้ห้องประชุม"
B,"กระผมจะตรวจสอบห้องประชุมให้ท่าน และจะแจ้งให้ทราบถึงความพร้อมในการใช้งาน","กระผมจักตรวจสอบห้องประชุมให้ท่าน และจักแจ้งให้ทราบถึงความพร้อมในการใช้งาน"
A,"ขอบพระคุณท่านมากสำหรับความอนุเคราะห์","ขอบพระคุณท่านมากสำหรับความอนุเคราะห์"
B,"ด้วยความยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ด้วยความยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"ท่านครับ ผมใคร่ขอทราบถึงรายละเอียดของสวัสดิการที่พนักงานจะได้รับ","ท่านครับ ผมใคร่ขอทราบถึงรายละเอียดของสวัสดิการที่พนักงานจักได้รับ"
B,"กระผมขอเรียนว่าท่านสามารถดูรายละเอียดของสวัสดิการได้จากคู่มือพนักงาน","กระผมขอเรียนว่าท่านสามารถดูรายละเอียดของสวัสดิการได้จากคู่มือพนักงาน"
A,"ขอบพระคุณท่านมากสำหรับข้อมูลครับ","ขอบพระคุณท่านมากสำหรับข้อมูลครับ"
B,"ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"เรียนท่าน ดิฉันมีความประสงค์จะขอความอนุเคราะห์ในการขออนุมัติโครงการ","เรียนท่าน ดิฉันมีความประสงค์จักขอความอนุเคราะห์ในการขออนุมัติโครงการ"
B,"กระผมจะนำโครงการของท่านเข้าสู่การพิจารณา และจะแจ้งผลให้ทราบโดยเร็ว","กระผมจักนำโครงการของท่านเข้าสู่การพิจารณา และจักแจ้งผลให้ทราบโดยเร็ว"
A,"ขอบพระคุณท่านมากสำหรับความเมตตา","ขอบพระคุณท่านมากสำหรับความเมตตา"
B,"ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ","ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ"
A,"ท่านครับ ผมใคร่ขอความอนุเคราะห์ในการขอคำแนะนำเกี่ยวกับวิธีการพัฒนาตนเอง","ท่านครับ ผมใคร่ขอความอนุเคราะห์ในการขอคำแนะนำเกี่ยวกับวิธีการพัฒนาตนเอง"
B,"กระผมยินดีที่จะให้คำแนะนำ หากมีรายละเอียดเกี่ยวกับความสนใจของท่าน โปรดแจ้งให้ทราบ","กระผมยินดีที่จะให้คำแนะนำ หากมีรายละเอียดเกี่ยวกับความสนใจของท่าน โปรดแจ้งให้ทราบ"
A,"ขอบพระคุณท่านมากสำหรับความเอื้อเฟื้อ","ขอบพระคุณท่านมากสำหรับความเอื้อเฟื้อ"
B,"ด้วยความยินดีครับ กระผมจะพยายามให้คำแนะนำที่ดีที่สุด","ด้วยความยินดีครับ กระผมจักพยายามให้คำแนะนำที่ดีที่สุด"
A,"เรียนท่าน ดิฉันใคร่ขอทราบถึงนโยบายในการประเมินผลการปฏิบัติงานของพนักงาน","เรียนท่าน ดิฉันใคร่ขอทราบถึงนโยบายในการประเมินผลการปฏิบัติงานของพนักงาน"
B,"กระผมขอเรียนว่าทางองค์กรมีนโยบายในการประเมินผลการปฏิบัติงานอย่างเป็นธรรมและโปร่งใส","กระผมขอเรียนว่าทางองค์การมีนโยบายในการประเมินผลการปฏิบัติงานอย่างเป็นธรรมและโปร่งใส"
A,"ขอบพระคุณท่านมากสำหรับข้อมูล","ขอบพระคุณท่านมากสำหรับข้อมูล"
B,"ด้วยความยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ด้วยความยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"ท่านครับ ผมมีความประสงค์จะขอความช่วยเหลือในการจัดทำรายงานสรุป","ท่านครับ ผมมีความประสงค์จักขอความช่วยเหลือในการจัดทำรายงานสรุป"
B,"กระผมยินดีที่จะช่วยเหลือ หากมีข้อมูลเพิ่มเติมโปรดแจ้งให้ทราบด้วยครับ","กระผมยินดีที่จะช่วยเหลือ หากมีข้อมูลเพิ่มเติมโปรดแจ้งให้ทราบด้วยครับ"
A,"ขอบพระคุณท่านมากสำหรับความอนุเคราะห์","ขอบพระคุณท่านมากสำหรับความอนุเคราะห์"
B,"ด้วยความยินดีครับ กระผมจะพยายามอย่างเต็มที่","ด้วยความยินดีครับ กระผมจักพยายามอย่างเต็มที่"
A,"เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอเข้าถึงข้อมูลของโครงการนี้","เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอเข้าถึงข้อมูลของโครงการนี้"
B,"กระผมจะพิจารณาคำขอของท่าน และจะแจ้งผลให้ทราบโดยเร็ว","กระผมจักพิจารณาคำขอของท่าน และจักแจ้งผลให้ทราบโดยเร็ว"
A,"ขอบพระคุณท่านมากสำหรับความเมตตา","ขอบพระคุณท่านมากสำหรับความเมตตา"
B,"ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ","ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ"
A,"ท่านครับ ผมมีความประสงค์จะขอคำแนะนำเกี่ยวกับวิธีการบริหารทีมงาน","ท่านครับ ผมมีความประสงค์จักขอคำแนะนำเกี่ยวกับวิธีการบริหารทีมงาน"
B,"กระผมยินดีที่จะให้คำแนะนำ หากมีรายละเอียดเกี่ยวกับปัญหาที่ท่านพบ โปรดแจ้งให้ทราบ","กระผมยินดีที่จะให้คำแนะนำ หากมีรายละเอียดเกี่ยวกับปัญหาที่ท่านพบ โปรดแจ้งให้ทราบ"
A,"ขอบพระคุณท่านมากสำหรับความเอื้อเฟื้อ","ขอบพระคุณท่านมากสำหรับความเอื้อเฟื้อ"
B,"ด้วยความยินดีครับ กระผมจะพยายามให้คำแนะนำที่ดีที่สุด","ด้วยความยินดีครับ กระผมจักพยายามให้คำแนะนำที่ดีที่สุด"
A,"เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอเอกสารการประเมิน","เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอเอกสารการประเมิน"
B,"กระผมจะดำเนินการจัดทำเอกสารการประเมินให้ท่าน และจะแจ้งให้ทราบเมื่อเรียบร้อย","กระผมจักดำเนินการจัดทำเอกสารการประเมินให้ท่าน และจักแจ้งให้ทราบเมื่อเรียบร้อย"
A,"ขอบพระคุณท่านมากสำหรับความเอาใจใส่","ขอบพระคุณท่านมากสำหรับความเอาใจใส่"
B,"ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ","ยินดีครับ หากมีข้อสงสัยประการใด สามารถสอบถามได้เสมอ"
A,"ท่านครับ ผมมีความประสงค์จะขอความช่วยเหลือในการประสานงานกับหน่วยงานอื่น","ท่านครับ ผมมีความประสงค์จักขอความช่วยเหลือในการประสานงานกับหน่วยงานอื่น"
B,"กระผมยินดีที่จะช่วยเหลือ หากมีข้อมูลเพิ่มเติมโปรดแจ้งให้ทราบด้วยครับ","กระผมยินดีที่จะช่วยเหลือ หากมีข้อมูลเพิ่มเติมโปรดแจ้งให้ทราบด้วยครับ"
A,"ขอบพระคุณท่านมากสำหรับความอนุเคราะห์","ขอบพระคุณท่านมากสำหรับความอนุเคราะห์"
B,"ด้วยความยินดีครับ กระผมจะพยายามอย่างเต็มที่","ด้วยความยินดีครับ กระผมจักพยายามอย่างเต็มที่"
A,"เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอรับการสนับสนุนโครงการ","เรียนท่าน ดิฉันใคร่ขอความอนุเคราะห์ในการขอรับการสนับสนุนโครงการ"
B,"กระผมจะนำโครงการของท่านเข้าสู่การพิจารณา และจะแจ้งผลให้ทราบโดยเร็ว","กระผมจักนำโครงการของท่านเข้าสู่การพิจารณา และจักแจ้งผลให้ทราบโดยเร็ว"
A,"ขอบพระคุณท่านมากสำหรับความเมตตา","ขอบพระคุณท่านมากสำหรับความเมตตา"
B,"ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ","ด้วยความยินดีครับ หากมีเรื่องใดที่กระผมสามารถช่วยเหลือได้ โปรดแจ้งให้ทราบ"
A,"ท่านครับ ผมใคร่ขอทราบถึงแนวทางการดำเนินงานด้านการตลาด","ท่านครับ ผมใคร่ขอทราบถึงแนวทางการดำเนินงานด้านการตลาด"
B,"กระผมขอเรียนว่าทางองค์กรมีแผนการดำเนินงานด้านการตลาดที่ชัดเจน และจะแจ้งให้ทราบเมื่อมีความคืบหน้า","กระผมขอเรียนว่าทางองค์การมีแผนการดำเนินงานด้านการตลาดที่ชัดเจน และจักแจ้งให้ทราบเมื่อมีความคืบหน้า"
A,"ขอบพระคุณท่านมากสำหรับข้อมูลครับ","ขอบพระคุณท่านมากสำหรับข้อมูลครับ"
